token,datasets_count,total_rows,missing_values,missing_percentage,datasets
dodo,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
just,4,2916,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
orion-protocol,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ampleforth,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
unizen,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
beefy-finance,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
stafi,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
strike,4,2916,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
inverse-finance,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
mango-markets,5,3645,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
liquity,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
perpetual-protocol,10,7289,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
degate,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ribbon-finance,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
alchemix,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ssv-network,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
kryll,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
pendle,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
quickswap,11,8018,0,0.00%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
crvusd,11,8018,10,0.12%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
whiteheart,11,8018,88,1.10%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
kujira,11,8018,244,3.04%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
minswap,5,3645,122,3.35%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
hydranet,4,2916,122,4.18%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
tokenfi,11,8018,377,4.70%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
pyth-network,5,3645,182,4.99%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
chainflip,10,7289,409,5.61%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
vertex-protocol,4,2916,166,5.69%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
cetus-protocol,5,3645,240,6.58%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
orca,5,3645,247,6.78%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
hatom,4,2916,237,8.13%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
ondo-finance,11,8018,655,8.17%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
messier,11,8018,916,11.42%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
renzo,11,8018,929,11.59%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
ethena,11,8018,1071,13.36%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
compound-ether,10,7289,1348,18.49%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
wrapped-nxm,10,7289,1358,18.63%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
orderly-network,10,7289,1648,22.61%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
dydx-chain,4,2916,723,24.79%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
hyperliquid,5,3645,1024,28.09%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
zebec-network,4,2916,835,28.64%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
bluefin,5,3645,1083,29.71%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
ether-fi,4,2916,891,30.56%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
morpho,11,8018,2564,31.98%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
saucerswap,4,2916,947,32.48%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
parcl,4,2916,947,32.48%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
synfutures,11,8018,3676,45.85%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
pinlink,11,8018,3939,49.13%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
solayer,5,3645,2072,56.84%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
dai,8,5831,3581,61.41%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
solana-swap,5,3645,2292,62.88%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
babylon,5,3645,2416,66.28%,"dev_activity/dev_activity_1d, dev_activity/dev_activity_contributors_count, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
usual,10,7289,5112,70.13%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
compound-usd-coin,10,7289,5377,73.77%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d, supply_demand/exchange_inflow_usd, supply_demand/exchange_outflow_usd, supply_demand/exchange_balance, whale_effect/amount_in_top_holders, whale_effect/whale_transaction_count_100k_usd_to_inf, whale_effect/whale_transaction_volume_100k_usd_to_inf"
moonwell-artemis,4,2916,2292,78.60%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
suilend,4,2916,2292,78.60%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
evervalue-coin,4,2916,2292,78.60%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
odos,4,2916,2292,78.60%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
tao-bot,4,2916,2408,82.58%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
derive,4,2916,2524,86.56%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
dolomite,4,2916,2640,90.53%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d, sentiment/social_volume_total, sentiment/sentiment_weighted_total_1d"
chaingpt,2,1458,1454,99.73%,"dev_activity/dev_activity_1d, dev_activity/github_activity_1d"
